time_limit;default;radius;in_range;random
0.0;0;0;0;0
352.7082278821452;0;0;0;0
705.4164557642904;1;0;0;0
1058.1246836464356;2;0;0;0
1410.8329115285808;3;0;0;0
1763.541139410726;4;0;0;0
2116.2493672928713;5;0;0;0
2468.957595175016;5;0;0;1
2821.6658230571616;6;0;0;1
3174.374050939307;7;0;0;1
3527.082278821452;8;0;0;1
3879.790506703597;9;0;0;1
4232.498734585743;9;0;1;1
4585.206962467888;9;0;2;1
4937.915190350032;9;0;3;1
5290.623418232178;9;0;4;1
5643.331646114323;9;0;5;1
5996.0398739964685;9;0;6;1
6348.748101878614;10;0;6;1
6701.456329760758;10;0;6;2
7054.164557642904;10;0;6;3
7406.872785525049;10;0;6;4
7759.581013407194;10;0;6;5
8112.28924128934;11;0;6;5
8464.997469171485;12;0;6;5
8817.70569705363;13;0;6;5
9170.413924935776;14;0;6;5
9523.12215281792;15;0;6;5
9875.830380700065;16;0;6;5
10228.53860858221;17;0;6;5
10581.246836464356;18;0;6;5
10933.9550643465;18;0;6;6
11286.663292228646;18;0;6;7
11639.371520110792;18;1;6;7
11992.079747992937;18;2;6;7
12344.787975875082;18;2;6;8
12697.496203757228;18;2;6;9
13050.204431639373;18;2;6;10
13402.912659521517;18;2;6;11
13755.620887403662;18;2;6;12
14108.329115285807;18;2;6;13
14461.037343167953;18;2;6;14
14813.745571050098;19;2;6;14
15166.453798932243;20;2;6;14
15519.162026814389;20;2;6;15
15871.870254696534;21;2;6;15
16224.57848257868;22;2;6;15
16577.286710460823;22;2;7;15
16929.99493834297;22;2;8;15
17282.703166225114;23;2;8;15
17635.41139410726;24;2;8;15
17988.119621989405;25;2;8;15
18340.82784987155;26;2;8;15
18693.536077753695;26;2;9;15
19046.24430563584;26;2;10;15
19398.952533517986;26;2;11;15
19751.66076140013;26;2;12;15
20104.368989282277;26;2;13;15
20457.07721716442;26;2;14;15
20809.785445046567;26;2;15;15
21162.49367292871;26;2;16;15
21515.20190081086;26;2;17;15
21867.910128693;26;2;18;15
22220.61835657515;26;2;19;15
22573.326584457292;27;2;19;15
22926.034812339436;28;2;19;15
23278.743040221583;29;2;19;15
23631.451268103727;30;2;19;15
23984.159495985874;31;2;19;15
24336.867723868017;32;2;19;15
24689.575951750165;32;2;20;15
25042.28417963231;32;2;21;15
25394.992407514455;32;2;22;15
25747.7006353966;32;2;23;15
26100.408863278746;32;2;24;15
26453.11709116089;32;2;25;15
26805.825319043033;32;2;26;15
27158.53354692518;32;2;27;15
27511.241774807324;32;2;28;15
27863.95000268947;32;2;29;15
28216.658230571615;32;2;30;15
28569.366458453762;32;2;31;15
28922.074686335905;32;2;32;15
29274.782914218053;32;2;33;15
29627.491142100196;33;2;33;15
29980.199369982343;34;2;33;15
30332.907597864487;35;2;33;15
30685.61582574663;36;2;33;15
31038.324053628778;37;2;33;15
31391.03228151092;38;2;33;15
31743.74050939307;39;2;33;15
32096.448737275212;40;2;33;15
32449.15696515736;41;2;33;15
32801.865193039506;42;2;33;15
33154.573420921646;43;2;33;15
33507.28164880379;44;2;33;15
33859.98987668594;45;2;33;15
34212.69810456808;46;2;33;15
34565.40633245023;47;2;33;15
34918.114560332375;48;2;33;15
35270.82278821452;49;2;33;15
35623.53101609666;50;2;33;15
35976.23924397881;51;2;33;15
36328.947471860956;52;2;33;15
36681.6556997431;53;2;33;15
37034.36392762524;54;2;33;15
37387.07215550739;55;2;33;15
37739.78038338954;56;2;33;15
38092.48861127168;57;2;33;15
38445.196839153825;58;2;33;15
38797.90506703597;58;2;33;16
39150.61329491812;58;2;33;17
39503.32152280026;58;2;33;18
39856.029750682406;58;2;33;19
40208.73797856455;58;2;33;20
40561.4462064467;58;2;33;21
40914.15443432884;58;2;33;22
41266.86266221099;58;2;33;23
41619.570890093135;58;2;33;24
41972.279117975275;58;2;33;25
42324.98734585742;58;2;33;26
42677.69557373957;58;2;33;27
43030.40380162172;58;2;33;28
43383.112029503856;58;2;33;29
43735.820257386;58;2;33;30
44088.52848526815;58;2;33;31
44441.2367131503;58;2;33;32
44793.94494103244;58;2;33;33
45146.653168914585;58;2;33;34
45499.36139679673;58;2;33;35
45852.06962467887;58;2;33;36
46204.77785256102;58;2;33;37
46557.48608044317;58;2;33;38
46910.19430832531;58;2;33;39
47262.90253620745;58;2;33;40
47615.6107640896;58;2;33;41
47968.31899197175;58;2;33;42
48321.027219853895;58;2;33;43
48673.735447736035;58;2;33;44
49026.44367561818;58;2;33;45
49379.15190350033;58;2;33;46
49731.86013138247;58;2;33;47
50084.56835926462;58;2;33;48
50437.27658714676;58;2;33;49
50789.98481502891;58;2;33;50
51142.69304291105;58;2;33;51
51495.4012707932;58;2;33;52
51848.109498675345;58;2;33;53
52200.81772655749;58;2;33;54
52553.52595443963;58;2;33;55
52906.23418232178;58;2;33;56
53258.94241020393;58;2;33;57
53611.65063808607;58;2;33;58
53964.358865968214;58;2;33;59
54317.06709385036;58;2;33;60
54669.77532173251;58;2;33;61
55022.48354961465;58;2;33;62
55375.191777496795;58;2;33;63
55727.90000537894;58;2;33;64
56080.60823326109;58;2;33;65
56433.31646114323;58;2;33;66
56786.02468902538;58;2;33;67
57138.732916907524;58;2;33;68
57491.441144789664;58;2;33;69
57844.14937267181;58;2;33;70
58196.85760055396;58;2;33;71
58549.565828436105;58;2;33;72
58902.274056318245;58;2;33;73
59254.98228420039;58;2;33;74
59607.69051208254;58;2;33;75
59960.39873996469;58;2;33;76
60313.10696784683;58;2;33;77
60665.815195728974;58;2;33;78
61018.52342361112;58;2;33;79
61371.23165149326;58;2;33;80
61723.93987937541;58;2;33;81
62076.648107257555;58;2;33;82
62429.3563351397;58;2;33;83
62782.06456302184;58;2;33;84
63134.77279090399;58;2;33;85
63487.48101878614;58;2;33;86
63840.189246668284;58;2;33;87
64192.897474550424;58;2;33;88
64545.60570243257;58;2;33;89
64898.31393031472;58;2;33;90
65251.02215819686;58;2;33;91
65603.73038607901;58;2;33;92
65956.43861396115;58;2;33;93
66309.14684184329;58;2;33;94
66661.85506972544;58;2;33;95
67014.56329760759;58;2;33;96
67367.27152548973;58;2;33;97
67719.97975337188;58;2;33;98
68072.68798125403;58;2;33;99
68425.39620913616;58;2;33;100
68778.10443701831;58;2;33;101
69130.81266490046;58;2;33;102
69483.5208927826;58;2;33;103
69836.22912066475;58;2;33;104
70188.9373485469;58;2;33;105
70541.64557642904;58;2;33;106
70894.35380431119;58;2;33;107
71247.06203219332;58;2;33;108
71599.77026007547;58;2;33;109
71952.47848795762;58;2;33;110
72305.18671583977;58;2;33;111
72657.89494372191;58;2;33;112
73010.60317160406;58;2;33;113
73363.3113994862;58;2;33;114
73716.01962736834;58;2;33;115
74068.72785525049;58;2;33;116
74421.43608313263;58;2;33;117
74774.14431101478;58;2;33;118
75126.85253889693;58;2;33;119
75479.56076677908;58;2;33;120
75832.26899466122;58;2;33;121
76184.97722254336;58;3;33;121
76537.6854504255;58;4;33;121
76890.39367830765;58;5;33;121
77243.1019061898;58;6;33;121
77595.81013407194;58;7;33;121
77948.51836195409;58;8;33;121
78301.22658983624;58;9;33;121
78653.93481771839;58;10;33;121
79006.64304560052;58;11;33;121
79359.35127348267;58;12;33;121
79712.05950136481;58;13;33;121
80064.76772924696;58;14;33;121
80417.4759571291;58;15;33;121
80770.18418501125;58;16;33;121
81122.8924128934;58;17;33;121
81475.60064077553;58;18;33;121
81828.30886865768;58;19;33;121
82181.01709653983;58;20;33;121
82533.72532442198;58;21;33;121
82886.43355230412;58;22;33;121
83239.14178018627;58;23;33;121
83591.85000806842;58;24;33;121
83944.55823595055;58;25;33;121
84297.2664638327;58;26;33;121
84649.97469171484;58;27;33;121
85002.68291959699;58;28;33;121
85355.39114747914;58;29;33;121
85708.09937536129;58;30;33;121
86060.80760324343;58;31;33;121
86413.51583112558;58;32;33;121
86766.22405900771;58;33;33;121
87118.93228688986;58;34;33;121
87471.640514772;58;35;33;121
87824.34874265415;58;36;33;121
88177.0569705363;58;37;33;121
88529.76519841845;58;38;33;121
88882.4734263006;58;39;33;121
89235.18165418273;58;40;33;121
89587.88988206488;58;41;33;121
89940.59810994702;58;42;33;121
90293.30633782917;58;43;33;121
90646.01456571132;58;44;33;121
90998.72279359346;58;45;33;121
91351.43102147561;58;46;33;121
91704.13924935774;58;47;33;121
92056.84747723989;58;48;33;121
92409.55570512204;58;49;33;121
92762.26393300419;58;50;33;121
93114.97216088633;58;51;33;121
93467.68038876848;58;52;33;121
93820.38861665063;58;53;33;121
94173.09684453276;58;54;33;121
94525.8050724149;58;55;33;121
94878.51330029705;58;56;33;121
95231.2215281792;58;57;33;121
95583.92975606135;58;58;33;121
95936.6379839435;58;59;33;121
96289.34621182564;58;60;33;121
96642.05443970779;58;61;33;121
96994.76266758992;58;62;33;121
97347.47089547207;58;63;33;121
97700.17912335422;58;64;33;121
98052.88735123636;58;65;33;121
98405.59557911851;58;66;33;121
98758.30380700066;58;67;33;121
99111.0120348828;58;68;33;121
99463.72026276494;58;69;33;121
99816.42849064709;58;70;33;121
100169.13671852923;58;71;33;121
100521.84494641138;58;72;33;121
100874.55317429353;58;73;33;121
101227.26140217567;58;74;33;121
101579.96963005782;58;75;33;121
101932.67785793995;58;76;33;121
102285.3860858221;58;77;33;121
102638.09431370425;58;78;33;121
102990.8025415864;58;79;33;121
103343.51076946854;58;80;33;121
103696.21899735069;58;81;33;121
104048.92722523284;58;82;33;121
104401.63545311498;58;83;33;121
104754.34368099712;58;84;33;121
105107.05190887926;58;85;33;121
105459.76013676141;58;86;33;121
105812.46836464356;58;87;33;121
106165.1765925257;58;88;33;121
106517.88482040785;58;89;33;121
106870.59304829;58;90;33;121
107223.30127617213;58;91;33;121
107576.00950405428;58;92;33;121
107928.71773193643;58;93;33;121
108281.42595981857;58;94;33;121
108634.13418770072;58;95;33;121
108986.84241558287;58;96;33;121
109339.55064346502;58;97;33;121
109692.25887134715;58;98;33;121
110044.9670992293;58;99;33;121
110397.67532711144;58;100;33;121
110750.38355499359;58;101;33;121
111103.09178287574;58;102;33;121
111455.80001075788;58;103;33;121
111808.50823864003;58;104;33;121
112161.21646652218;58;105;33;121
112513.92469440431;58;106;33;121
112866.63292228646;58;107;33;121
113219.3411501686;58;108;33;121
113572.04937805075;58;109;33;121
113924.7576059329;58;110;33;121
114277.46583381505;58;111;33;121
114630.1740616972;58;112;33;121
114982.88228957933;58;113;33;121
115335.59051746147;58;114;33;121
115688.29874534362;58;115;33;121
116041.00697322577;58;116;33;121
116393.71520110792;58;117;33;121
116746.42342899006;58;118;33;121
117099.13165687221;58;119;33;121
117451.83988475434;58;120;33;121
117804.54811263649;58;121;33;121
118157.25634051864;58;122;33;121
118509.96456840078;58;123;33;121
118862.67279628293;58;124;33;121
119215.38102416508;58;125;33;121
119568.08925204723;58;126;33;121
119920.79747992937;58;127;33;121
120273.5057078115;58;128;33;121
120626.21393569365;58;129;33;121
120978.9221635758;58;130;33;121
121331.63039145795;58;131;33;121
121684.3386193401;58;132;33;121
122037.04684722224;58;133;33;121
122389.75507510439;58;134;33;121
122742.46330298652;58;135;33;121
123095.17153086867;58;136;33;121
123447.87975875082;58;137;33;121
123800.58798663296;58;138;33;121
124153.29621451511;58;139;33;121
124506.00444239726;58;140;33;121
124858.7126702794;58;141;33;121
125211.42089816154;58;142;33;121
125564.12912604368;58;143;33;121
125916.83735392583;58;144;33;121
126269.54558180798;58;145;33;121
126622.25380969013;58;146;33;121
126974.96203757227;58;147;33;121
127327.67026545442;58;148;33;121
127680.37849333657;58;149;33;121
128033.0867212187;58;150;33;121
128385.79494910085;58;151;33;121
128738.503176983;58;152;33;121
129091.21140486514;58;153;33;121
129443.91963274729;58;154;33;121
129796.62786062944;58;155;33;121
130149.33608851158;58;156;33;121
130502.04431639372;58;157;33;121
130854.75254427586;58;158;33;121
131207.46077215803;58;159;33;121
131560.16900004016;58;160;33;121
131912.8772279223;58;161;33;121
132265.58545580445;58;162;33;121
132618.29368368658;58;163;33;121
132971.00191156875;58;164;33;121
133323.71013945088;58;165;33;121
133676.41836733304;58;166;33;121
134029.12659521517;58;167;33;121
134381.8348230973;58;168;33;121
134734.54305097947;58;169;33;121
135087.2512788616;58;170;33;121
135439.95950674376;58;171;33;121
135792.6677346259;58;172;33;121
136145.37596250806;58;173;33;121
136498.0841903902;58;174;33;121
136850.79241827232;58;175;33;121
137203.50064615448;58;176;33;121
137556.20887403662;58;177;33;121
137908.91710191878;58;178;33;121
138261.6253298009;58;179;33;121
138614.33355768307;58;180;33;121
138967.0417855652;58;181;33;121
139319.75001344734;58;182;33;121
139672.4582413295;58;183;33;121
140025.16646921163;58;184;33;121
140377.8746970938;58;185;33;121
140730.58292497593;58;186;33;121
141083.2911528581;58;187;33;121
141435.99938074022;58;188;33;121
141788.70760862238;58;189;33;121
142141.41583650452;58;190;33;121
142494.12406438665;58;191;33;121
142846.8322922688;58;192;33;121
143199.54052015094;58;193;33;121
143552.2487480331;58;194;33;121
143904.95697591524;58;195;33;121
144257.6652037974;58;196;33;121
144610.37343167953;58;197;33;121
144963.08165956166;58;198;33;121
145315.78988744383;58;199;33;121
145668.49811532596;58;200;33;121
146021.20634320812;58;201;33;121
146373.91457109025;58;202;33;121
146726.6227989724;58;203;33;121
147079.33102685455;58;204;33;121
147432.03925473668;58;205;33;121
147784.74748261884;58;206;33;121
148137.45571050097;58;207;33;121
148490.16393838314;58;208;33;121
148842.87216626527;58;209;33;121
149195.58039414743;58;210;33;121
149548.28862202956;58;211;33;121
149900.9968499117;58;212;33;121
150253.70507779386;58;213;33;121
150606.413305676;58;214;33;121
150959.12153355815;58;215;33;121
151311.82976144028;58;216;33;121
151664.53798932245;58;217;33;121
152017.24621720458;58;218;33;121
152369.9544450867;58;219;33;121
152722.66267296887;58;220;33;121
153075.370900851;58;221;33;121
153428.07912873317;58;222;33;121
153780.7873566153;58;223;33;121
154133.49558449746;58;224;33;121
154486.2038123796;58;225;33;121
154838.91204026173;58;226;33;121
155191.6202681439;58;227;33;121
155544.32849602602;58;228;33;121
155897.03672390818;58;229;33;121
156249.74495179032;58;230;33;121
156602.45317967248;58;231;33;121
156955.1614075546;58;232;33;121
157307.86963543677;58;233;33;121
157660.5778633189;58;234;33;121
158013.28609120104;58;235;33;121
158365.9943190832;58;236;33;121
158718.70254696533;58;237;33;121
159071.4107748475;58;238;33;121
159424.11900272963;58;239;33;121
159776.8272306118;58;240;33;121
160129.53545849392;58;241;33;121
160482.24368637605;58;242;33;121
160834.9519142582;58;243;33;121
161187.66014214035;58;244;33;121
161540.3683700225;58;245;33;121
161893.07659790464;58;246;33;121
162245.7848257868;58;247;33;121
162598.49305366894;58;248;33;121
162951.20128155107;58;249;33;121
163303.90950943323;58;250;33;121
163656.61773731536;58;251;33;121
164009.32596519752;58;252;33;121
164362.03419307966;58;253;33;121
164714.74242096182;58;254;33;121
165067.45064884395;58;255;33;121
165420.15887672608;58;256;33;121
165772.86710460825;58;257;33;121
166125.57533249038;58;258;33;121
166478.28356037254;58;259;33;121
166830.99178825467;58;260;33;121
167183.70001613683;58;261;33;121
167536.40824401897;58;262;33;121
167889.1164719011;58;263;33;121
168241.82469978326;58;264;33;121
168594.5329276654;58;265;33;121
168947.24115554756;58;266;33;121
169299.9493834297;58;267;33;121
169652.65761131185;58;268;33;121
170005.36583919398;58;269;33;121
170358.07406707612;58;270;33;121
170710.78229495828;58;271;33;121
171063.4905228404;58;272;33;121
171416.19875072257;58;273;33;121
171768.9069786047;58;274;33;121
172121.61520648687;58;275;33;121
172474.323434369;58;276;33;121
172827.03166225116;58;277;33;121
173179.7398901333;58;278;33;121
173532.44811801543;58;279;33;121
173885.1563458976;58;280;33;121
174237.86457377972;58;281;33;121
174590.57280166188;58;282;33;121
174943.281029544;58;283;33;121
175295.98925742618;58;284;33;121
175648.6974853083;58;285;33;121
176001.40571319044;58;286;33;121
176354.1139410726;58;287;33;121
